Filter_Size,Resolution,Epochs,Pearson_Correlation
15,10000,54,0.29132180223186294
15,10000,64,0.2873397065955642
13,10000,35,0.3425165906631638
9,10000,54,0.9430495941432361
13,10000,36,0.9243712679044588
15,50000,64,0.10469752713859692
15,100000,64,0.045929464817874965
15,500000,64,0.004474692849730454
